gid,actual_price,rsi,ma25_distance,predicted_action
864471,81886.5088,70.49,100.23,BEARISH_DRIFT
864479,81901.3117,67.59,96.91,BEARISH_DRIFT
864488,81837.5947,62.05,71.51,BULLISH_DRIFT
864496,81825.1591,47.01,14.8,BULLISH_DRIFT
864505,81821.99,49.1,-18.51,BEARISH_DRIFT
864513,81780.7271,50.65,-28.59,BEARISH_DRIFT
864522,81814.427,49.54,-41.39,BEARISH_DRIFT
864530,81826.8634,53.38,-28.58,BEARISH_DRIFT
864539,81822.6202,40.81,-13.54,BEARISH_DRIFT
864547,81846.35,24.33,-33.24,BULLISH_DRIFT
864556,81876.52,31.41,-32.2,BULLISH_DRIFT
864564,81909.7594,44.84,5.01,BULLISH_DRIFT
864573,81873.1646,49.26,36.43,BULLISH_DRIFT
864581,81831.22,47.66,-11.81,BEARISH_DRIFT
864590,81806.3433,46.27,-42.49,BEARISH_DRIFT
864598,81815.17,55.73,-54.08,BEARISH_DRIFT
864607,81754.16,52.33,-52.28,BEARISH_DRIFT
864615,81740.1509,39.81,-98.22,BEARISH_DRIFT
864624,81729.12,40.54,-120.62,BEARISH_DRIFT
864632,81746.1099,34.07,-128.13,BULLISH_DRIFT
864641,81751.92,40.13,-99.5,BEARISH_DRIFT
864649,81755.3509,34.22,-75.7,BULLISH_DRIFT
864658,81732.1311,32.87,-69.03,BULLISH_DRIFT
864666,81740.31,27.32,-84.48,BULLISH_DRIFT
864675,81745.99,31.47,-74.71,BULLISH_DRIFT
864683,81746.74,40.71,-60.34,BEARISH_DRIFT
864692,81765.0924,33.49,-62.03,BULLISH_DRIFT
864700,81750.85,38.81,-40.6,BEARISH_DRIFT
864709,81764.55,55.71,-38.8,BEARISH_DRIFT
864717,81758.22,67.78,-24.37,BEARISH_DRIFT
864726,81758.01,62.64,-39.5,BEARISH_DRIFT
864734,81772.238,54.89,-29.98,BEARISH_DRIFT
864743,81788.78,56.77,-18.55,BEARISH_DRIFT
864751,81813.0717,70.48,10.08,BEARISH_DRIFT
864760,81833.6983,80.42,24.02,BEARISH_DRIFT
864768,81829.0484,71.34,30.67,BEARISH_DRIFT
864777,81834.84,71.58,54.57,BEARISH_DRIFT
864785,81906,69.66,63.74,BEARISH_DRIFT
864794,81852.78,70.78,74.95,BEARISH_DRIFT
864802,81816.2172,64.28,34.11,BULLISH_DRIFT
864811,81798,58.51,17.94,BULLISH_DRIFT
864819,81850.2696,62.77,8.71,BULLISH_DRIFT
864828,81834.22,63.88,8.41,BULLISH_DRIFT
864836,81790.5413,60.28,14.05,BULLISH_DRIFT
864845,81756.0864,52.22,-32.58,BEARISH_DRIFT
864854,81725.18,36.67,-66.17,BEARISH_DRIFT
864863,81730.9022,34.06,-102.59,BULLISH_DRIFT
864871,81758.73,36.63,-78.59,BEARISH_DRIFT
864880,81720.2169,35.57,-61.19,BEARISH_DRIFT
864888,81706.7764,17.12,-102.36,BULLISH_DRIFT
864897,81698.0906,26.51,-79.1,BULLISH_DRIFT
864905,81684.84,22.28,-105.45,BULLISH_DRIFT
864914,81680.01,19.56,-122.64,BULLISH_DRIFT
864922,81675.86,17.82,-122.6,BULLISH_DRIFT
864931,81703.94,27.66,-107.05,BULLISH_DRIFT
864939,81716.06,29.01,-85.26,BULLISH_DRIFT
864948,81698.19,37.33,-79.6,BEARISH_DRIFT
864956,81676,40.15,-70.97,BEARISH_DRIFT
864965,81666.87,29.12,-88.15,BULLISH_DRIFT
864973,81642.86,50,0,NEUTRAL_SPREAD
864982,81657.8737,31.69,-95.97,BULLISH_DRIFT
864990,81622.16,34.89,-81.69,BULLISH_DRIFT
864999,81655.47,33.05,-97.95,BULLISH_DRIFT
865007,81625.47,40.66,-89.41,BEARISH_DRIFT
865016,81637.9965,39.24,-73.22,BEARISH_DRIFT
865024,81622.4826,33.42,-65.78,BULLISH_DRIFT
865033,81630.116,28.06,-74.74,BULLISH_DRIFT
865041,81627.5936,25.43,-63.35,BULLISH_DRIFT
865050,81648.5709,50,0,NEUTRAL_SPREAD
865058,81691.05,50.39,-46.22,BEARISH_DRIFT
865067,81694.9477,60.4,7.38,BULLISH_DRIFT
865075,81739.35,60.4,10.94,BULLISH_DRIFT
865084,81735.1442,63.12,40.4,BULLISH_DRIFT
865092,81710.0015,71.79,36.28,BEARISH_DRIFT
865101,81716.7178,63.01,29.19,BULLISH_DRIFT
